year,city_states,lat,lon,tribute_val,Col,Comment,Pleiades
430,Chalke,36.226496,27.625099,200,1,,https://pleiades.stoa.org/places/589741
430,Isinda,38.05,27.4,100,1,,
430,Myndos near Termera,37.073691,27.242415,50,1,Myndian peninsula. Myndos in the fifth century was much less important (paid less tribute) than Termera.,https://pleiades.stoa.org/places/599811
430,Myrina near Kyme,38.840097,26.985537,600,1,,https://pleiades.stoa.org/places/550756
430,Gargara,39.534465,26.540773,510,1,,https://pleiades.stoa.org/places/550544
430,Ikos,39.163501,23.900777,150,2,,http://pleiades.stoa.org/places/540835
430,Mende,39.971454,23.39806,4800,2,,http://pleiades.stoa.org/places/501515
430,Maroneia,40.87545426,25.5140402,1800,2,,https://pleiades.stoa.org/places/501507
430,Skiathos,39.164021,23.488506,100,2,,http://pleiades.stoa.org/places/541104
430,Aphytis,40.099366,23.436606,1800,2,,http://pleiades.stoa.org/places/491525
430,Thasos,40.683333,24.65,18000,2,,http://pleiades.stoa.org/places/501634
430,Peparethos,39.119096,23.719616,1800,2,,http://pleiades.stoa.org/places/541023
430,Neapolis of Mende abroad,40.0154,23.527,300,2,,
430,Skione,39.939063,23.574785,5400,2,,http://pleiades.stoa.org/places/501620
430,Thyssos,40.288017,24.158674,600,2,,http://pleiades.stoa.org/places/501643
430,Samothrace,40.50370085,25.53004955,1200,2,,http://pleiades.stoa.org/places/501596
430,Torone,39.9766652,23.90445065,7200,2,,http://pleiades.stoa.org/places/501646
430,Stageira,40.5926245,23.7939045,100,2,,http://pleiades.stoa.org/places/501625
430,Akanthos,40.39975,23.880112,1800,2,,https://pleiades.stoa.org/places/501339
430,Aineia,40.439481,22.879124,100,2,,http://pleiades.stoa.org/places/491513
430,Dion at Athos,40.157222,24.326389,600,2,,https://pleiades.stoa.org/places/501366
430,Olophyxos at Athos,40.330422,24.190639,200,2,,https://pleiades.stoa.org/places/501535
430,Abdera,40.93950935,24.9795992,6000,2,,http://pleiades.stoa.org/places/501323
430,Argilos,40.7819725,23.8123785,100,2,,https://pleiades.stoa.org/places/501358
430,Thrambos,39.95,23.66667,108.5,2,,https://pleiades.stoa.org/places/501637
430,Aige,39.978627,23.666064,325,2,,http://pleiades.stoa.org/places/501335
430,Sane,40.098381,23.306117,100,2,,http://pleiades.stoa.org/places/491715
430,Methone,40.467472,22.583623,1800,2,,https://pleiades.stoa.org/places/491663
430,Haison,39.3623245,22.89310505,100,2,,https://pleiades.stoa.org/places/540613
430,Dikaiopolis of the Eretrians,40.3621,23.0935,600,2,"Dikaia comes in a journey between Aineia and Poteidaia and in a geographical list between Therme and Poteidaia (Pliny). I locate it at the modern day Nea Gonia, Greece.",
430,Keos,37.616667,24.333333,1800,2,,https://pleiades.stoa.org/places/570348
430,Syros,37.43,24.92,150,2,,https://pleiades.stoa.org/places/590067
430,Mykonos,37.445959,25.328619,600,2,,https://pleiades.stoa.org/places/599807
430,Andros,37.85,24.86,3600,2,,https://pleiades.stoa.org/places/589693
430,Seriphos,37.1556994,24.5062056,600,2,,https://pleiades.stoa.org/places/590044
430,Tenos,37.607,25.114,1200,2,,https://pleiades.stoa.org/places/590074
430,Eretria,38.399266,23.7918065,1800,2,Eretria was situated on the coast of Euboia about twelve miles east of Chalkis.,https://pleiades.stoa.org/places/579925
430,Rheneia,37.409,25.229,30,2,,https://pleiades.stoa.org/places/599919
430,Siphnos,36.97981176,24.68014072,1800,2,,https://pleiades.stoa.org/places/590049
430,Thera,36.416667,25.433333,1800,2,,https://pleiades.stoa.org/places/599973
